id,balance,password
1,19575,user1123
2,17503,user2123
3,9501,user3123
4,15965,user4123
5,7036,user5123
6,2367,user6123
7,17526,user7123
8,19299,user8123
9,546,user9123
10,4695,user10123
11,14202,user11123
12,17838,user12123
13,15568,user13123
14,8068,user14123
15,4625,user15123
16,16942,user16123
17,10082,user17123
18,10513,user18123
19,1448,user19123
20,19913,user20123
21,1433,user21123
22,17410,user22123
23,9571,user23123
24,5435,user24123
25,15869,user25123
26,14346,user26123
27,13834,user27123
28,18655,user28123
29,543,user29123
30,14193,user30123
31,12418,user31123
32,6297,user32123
33,5232,user33123
34,2680,user34123
35,16069,user35123
36,16578,user36123
37,6382,user37123
38,17664,user38123
39,969,user39123
40,9134,user40123
41,6853,user41123
42,17018,user42123
43,9829,user43123
44,17525,user44123
45,8789,user45123
46,8033,user46123
47,6977,user47123
48,8686,user48123
49,11949,user49123
50,5317,user50123
51,14257,user51123
52,18703,user52123
53,12788,user53123
54,2783,user54123
55,6033,user55123
56,5872,user56123
57,2927,user57123
58,18797,user58123
59,10654,user59123
60,18991,user60123
61,7340,user61123
62,2234,user62123
63,1106,user63123
64,17779,user64123
65,7343,user65123
66,10655,user66123
67,10546,user67123
68,9023,user68123
69,11610,user69123
70,15003,user70123
71,8787,user71123
72,267,user72123
73,12008,user73123
74,17855,user74123
75,13914,user75123
76,9329,user76123
77,11369,user77123
78,11639,user78123
79,13910,user79123
80,6731,user80123
81,8925,user81123
82,16121,user82123
83,9502,user83123
84,14398,user84123
85,6821,user85123
86,2712,user86123
87,7614,user87123
88,14032,user88123
89,7723,user89123
90,12713,user90123
91,2291,user91123
92,2664,user92123
93,17546,user93123
94,3094,user94123
95,8558,user95123
96,13394,user96123
97,10482,user97123
98,12189,user98123
99,15076,user99123
100,19630,user100123
